"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","36","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","33","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","32","MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","34","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","59","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","56","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","55","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","58","MCTS LP Baseline (C = 1.4142135623730951)","34","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","50","Tie"
"MCTS LP (C = 1.1)","35","MCTS LP Baseline (C = 1.4142135623730951)","56","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","30","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","38","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","33","MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","55","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","38","MCTS LP Baseline (C = 1.4142135623730951)","56","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","54","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","53","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","38","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","36","MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","55","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","64","MCTS LP Baseline (C = 1.4142135623730951)","29","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","46","Tie"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","59","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","62","MCTS LP Baseline (C = 1.4142135623730951)","35","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","47","Tie"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","63","MCTS LP Baseline (C = 1.4142135623730951)","25","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","56","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","36","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","37","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","43","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","57","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","54","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","38","MCTS LP Baseline (C = 1.4142135623730951)","61","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","37","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","52","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","45","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","41","MCTS LP Baseline (C = 1.4142135623730951)","52","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","48","MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","36","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","35","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","45","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","44","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","39","MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","33","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","46","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","33","MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","49","MCTS LP Baseline (C = 1.4142135623730951)","49","Tie"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","44","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","51","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","40","MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","47","MCTS LP Baseline (C = 1.4142135623730951)","42","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","50","MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","42","MCTS LP Baseline (C = 1.4142135623730951)","40","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","53","MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.1)"
"MCTS LP (C = 1.1)","43","MCTS LP Baseline (C = 1.4142135623730951)","48","MCTS LP Baseline (C = 1.4142135623730951)"
